"Internal - All"
"Address","Content","Status Code","Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","Size","Word Count","Level","Inlinks","Outlinks","External Outlinks","Hash","Response Time","Last Modified","Redirect URI"
"http://www.fedesarda.it/","text/html; charset=utf-8","301","Moved","","0","0","","0","0","","0","","0","","0","","0","","0","","","","0","0","0","621","1","0","","0.26","","http://www.fedesarda.it/it/"
"http://www.fedesarda.it/it/","text/html; charset=utf-8","200","OK","Fede Sarda - Anelli sardi lavorati a mano - FedeSarda.it","56","443","La vera Fede sarda realizzata in Sardegna la trovi solo da noi. Inimitabile ed unica. Le nostre fedi sono realizzate a mano in filigrana sarda. ","144","801","fede sarda,fedi sarde,filigrana sarda,acquisto fede sarda,fede sarda prezzi,fede sarda oro bianco,fede sarda argento,filigrana sarda produzione","143","Fede sarda - Fatti tentare dalla tradizione! ","45","La Fede Sarda - Un gioiello inimitabile","39","Acquista Ora!","13","","0","index,follow","","","60945","989","1","5","111","4","8245f38dd87689227e1016bb8b62649c","0.604","",""
"http://www.fedesarda.it/modules/themeconfigurator/img/179afb4230c6e0f025e30691b6e93f0f1a486c8d_orecchini-filigrana-bottone.jpg","","0","Blocked by Robots.txt","","0","0","","0","0","","0","","0","","0","","0","","0","","","","0","0","2","0","0","0","","","",""
"http://www.fedesarda.it/themes/default-bootstrap/cache/v_25_080fb70768b00c58223f3e47c9e850b3_all.css","text/css","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","40156","0","2","0","0","0","","0.048","Sun, 26 Feb 2017 14:29:48 GMT",""
"http://www.fedesarda.it/53-home_default/orecchini-filigrana-sarda-in-oro-giallo-.jpg","image/jpeg","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","8421","0","2","0","0","0","","0.066","Tue, 14 Oct 2014 05:00:00 GMT",""
"http://www.fedesarda.it/it/negozi","text/html; charset=utf-8","200","OK","Negozi - FedeSarda.it","21","174","Il nostro punto vendita - Vieni a visitarci","43","225","","0","Il nostro negozio","17","","0","","0","","0","index,follow","","","29754","356","2","99","53","4","2c4e60648db8d920224c85b84accb7f0","0.595","",""
"http://www.fedesarda.it/it/content/5-pagamento-sicuro","text/html; charset=utf-8","200","OK","Pagamento sicuro - FedeSarda.it","31","263","Il nostro mezzo di pagamento sicuro","35","210","pagamento sicuro, ssl, visa, mastercard, paypal","47"," Il nostro pagamento sicuro","27","","0","","0","","0","index,follow","","","29461","351","2","101","53","4","964e4b1a82c3ffb82425b6a61de28a5c","0.567","",""
"http://www.fedesarda.it/it/content/7-come-calcolare-la-misura-corretta","text/html; charset=utf-8","200","OK","Come calcolare la misura corretta - FedeSarda.it","48","386","Misura anelli. Nella seguente tabella trovi indicate le misure degli anelli con riferimento al Sistema Standard Nazionale italiano. Consigliamo di prendere la misura da un anello a fascia stretta.","196","1096","calcola misura","14","","0","","0","","0","","0","index,follow","","","29201","272","2","101","53","4","765105c3bc5220e712ae404501a5b9cf","0.567","",""
"http://www.fedesarda.it/it/content/6-diventa-partner","text/html; charset=utf-8","200","OK","diventa partner - FedeSarda.it","30","239","Lavora con noi - Diventa un rivenditore di gioielli sardi","57","303","lavoro agente,lavoro gioielli,agente gioielli,rappresentante gioielli,distributore gioielli,vendita gioielli sardi,fedi sarde ingrosso,filigrana argento produzione","163","Contattaci e diventa nostro rivenditore!","40","Vuoi lavorare con noi? Diventa un nostro agente di zona!","56","","0","","0","index,follow","","","29861","367","2","101","55","4","d056ddec7a5148cb669be40e2c05e795","0.679","",""
"http://www.fedesarda.it/themes/default-bootstrap/cache/v_25_f80bad6d7048f2681196e8dec101b894_all.css","text/css","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","37970","0","3","0","0","0","","0.055","Sun, 26 Feb 2017 15:14:10 GMT",""
"http://www.fedesarda.it/57-home_default/filigrana-sarda-orecchini-disco-corbula-oro-18-kt-.jpg","image/jpeg","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","7489","0","2","0","0","0","","0.046","Tue, 14 Oct 2014 05:00:00 GMT",""
